text,stress_level,stress_score,age,gender,text_length,word_count,stress_level_encoded
sometimes i feel stressed but it's manageable. seeking help.,Moderate,33.668695797323274,38,Other,60,9,1
i feel a bit overwhelmed with responsibilities. seeking help.,Moderate,31.161672243363988,53,Other,61,9,1
everything is going well at work. i don't know what to do.,Low,21.659963168004744,38,M,58,12,0
i'm tired from work pressure.,Moderate,30.14132610439435,66,Other,29,5,1
i'm constantly worried and can't focus on anything. how can i improve this?,High,51.16664158034038,33,Other,75,13,2
i feel a bit overwhelmed with responsibilities. how can i improve this?,Moderate,42.36772018666174,69,M,71,12,1
i'm enjoying my daily routine.,Low,20.40922615763339,56,F,30,5,0
the stress is unbearable and i need immediate help. i don't know what to do.,Critical,89.08220544613849,26,F,76,15,3
i feel calm and peaceful. how can i improve this?,Low,7.230763980780352,24,M,49,10,0
i feel completely helpless and don't know what to do. how can i improve this?,Critical,97.73301005196956,67,F,77,15,3
i'm tired from work pressure. seeking help.,Moderate,40.9342055868656,35,F,43,7,1
work has been a bit overwhelming lately. how can i improve this?,Moderate,47.89654700855297,57,M,64,12,1
work has been a bit overwhelming lately. i don't know what to do.,Moderate,40.7938426477816,42,M,65,13,1
work is balanced and i have time for hobbies.,Low,4.958008171890075,24,M,45,9,0
the stress is unbearable and i need immediate help. need advice.,Critical,82.33720436795096,68,M,64,11,3
the stress is overwhelming and affecting my health. seeking help.,High,69.28175866714864,59,Other,65,10,2
i feel exhausted and depressed all the time. how can i improve this?,High,71.57758564688984,51,M,68,13,2
work is balanced and i have time for hobbies. seeking help.,Low,20.065237579908217,52,F,59,11,0
i can't sleep at all and feel like i'm falling apart. need advice.,Critical,84.57317186884475,18,M,66,13,3
everything feels hopeless and i'm struggling daily. need advice.,High,56.4017080690331,26,Other,64,9,2
work has been a bit overwhelming lately. need advice.,Moderate,38.7867300373154,49,Other,53,9,1
sometimes i feel stressed but it's manageable. seeking help.,Moderate,40.17141382329406,40,Other,60,9,1
i'm having trouble sleeping occasionally. seeking help.,Moderate,34.06122449469539,49,Other,55,7,1
i'm tired from work pressure. i don't know what to do.,Moderate,47.60935678030516,62,F,54,11,1
