text,stress_level,stress_score,age,gender
Sometimes I feel stressed but it's manageable. Seeking help.,Moderate,33.668695797323274,38,Other
I feel a bit overwhelmed with responsibilities. Seeking help.,Moderate,31.161672243363988,53,Other
Everything is going well at work. I don't know what to do.,Low,21.659963168004744,38,M
I'm tired from work pressure.,Moderate,30.14132610439435,66,Other
I'm constantly worried and can't focus on anything. How can I improve this?,High,51.16664158034038,33,Other
I feel a bit overwhelmed with responsibilities. How can I improve this?,Moderate,42.36772018666174,69,M
I'm enjoying my daily routine.,Low,20.40922615763339,56,F
The stress is unbearable and I need immediate help. I don't know what to do.,Critical,89.08220544613849,26,F
I feel calm and peaceful. How can I improve this?,Low,7.230763980780352,24,M
I feel completely helpless and don't know what to do. How can I improve this?,Critical,97.73301005196956,67,F
I'm tired from work pressure. Seeking help.,Moderate,40.934205586865595,35,F
Work has been a bit overwhelming lately. How can I improve this?,Moderate,47.89654700855297,57,M
Work has been a bit overwhelming lately. I don't know what to do.,Moderate,40.793842647781595,42,M
Work is balanced and I have time for hobbies.,Low,4.958008171890075,24,M
The stress is unbearable and I need immediate help. Need advice.,Critical,82.33720436795096,68,M
The stress is overwhelming and affecting my health. Seeking help.,High,69.28175866714864,59,Other
I feel exhausted and depressed all the time. How can I improve this?,High,71.57758564688984,51,M
Work is balanced and I have time for hobbies. Seeking help.,Low,20.065237579908217,52,F
I can't sleep at all and feel like I'm falling apart. Need advice.,Critical,84.57317186884475,18,M
Everything feels hopeless and I'm struggling daily. Need advice.,High,56.4017080690331,26,Other
Work has been a bit overwhelming lately. Need advice.,Moderate,38.7867300373154,49,Other
Sometimes I feel stressed but it's manageable. Seeking help.,Moderate,40.17141382329406,40,Other
I'm having trouble sleeping occasionally. Seeking help.,Moderate,34.06122449469539,49,Other
I'm tired from work pressure. I don't know what to do.,Moderate,47.609356780305156,62,F
I'm having panic attacks and anxiety episodes. How can I improve this?,High,61.413364262072754,61,F
I have severe anxiety and depression that won't go away.,Critical,78.05219886751684,56,F
I feel good and relaxed today.,Low,19.43070361624087,69,M
Everything is falling apart and I can't handle it anymore.,Critical,87.76868256443915,54,M
I feel calm and peaceful. Need advice.,Low,7.323765667433225,49,M
I'm tired from work pressure. How can I improve this?,Moderate,49.435641654419214,29,F
The stress is overwhelming and affecting my health.,High,57.52195774541924,34,Other
I'm constantly worried and can't focus on anything. Seeking help.,High,60.27592533295578,49,M
I'm having panic attacks and anxiety episodes. How can I improve this?,High,53.622371802280576,43,F
I feel calm and peaceful. Need advice.,Low,2.425599789981457,34,Other
I'm having constant panic attacks and can't function. Need advice.,Critical,90.80764576483949,65,M
I'm enjoying my daily routine. Seeking help.,Low,5.595555311995627,20,Other
Everything is going well at work. Need advice.,Low,15.36279174897843,37,Other
I feel good and relaxed today. I don't know what to do.,Low,11.92716063262567,57,M
I feel very anxious and unable to sleep because of work pressure. I don't know what to do.,High,52.83683803101473,52,Other
I'm constantly worried and can't focus on anything. How can I improve this?,High,74.55420858323589,66,F
Everything is falling apart and I can't handle it anymore. Seeking help.,Critical,97.43039394883317,49,Other
I feel good and relaxed today. Need advice.,Low,10.476287238379827,37,F
The stress is unbearable and I need immediate help. How can I improve this?,Critical,77.10349912487622,55,F
I'm sleeping well and feeling energized.,Low,28.204003273733353,46,F
Everything is going well at work. Need advice.,Low,14.568412607586797,33,M
I feel good and relaxed today. Seeking help.,Low,0.542260908465626,65,Other
My mind keeps racing and I feel trapped. How can I improve this?,High,64.20771508338679,68,F
I'm tired from work pressure. Seeking help.,Moderate,41.79741695121088,68,F
I feel completely helpless and don't know what to do.,Critical,94.87028258854122,45,Other
Sometimes I feel stressed but it's manageable. Need advice.,Moderate,34.60370536483111,21,Other
I can't sleep at all and feel like I'm falling apart. Seeking help.,Critical,99.86376276993353,63,M
The stress is unbearable and I need immediate help. Seeking help.,Critical,75.38641541322168,66,F
I feel completely helpless and don't know what to do. How can I improve this?,Critical,99.50828959290115,38,Other
I'm having trouble sleeping occasionally.,Moderate,33.38985493372185,59,Other
I feel completely helpless and don't know what to do. I don't know what to do.,Critical,89.25152925223412,49,Other
I have severe anxiety and depression that won't go away. I don't know what to do.,Critical,81.35409122674346,19,F
I feel very anxious and unable to sleep because of work pressure. Seeking help.,High,53.41553328605072,59,Other
Work has been a bit overwhelming lately. Seeking help.,Moderate,47.341446371602075,24,M
I feel exhausted and depressed all the time. How can I improve this?,High,66.24909826944413,68,Other
Everything is going well at work. Need advice.,Low,2.81945819522607,42,F
I can't cope with the pressure anymore. I don't know what to do.,High,70.97333755173409,39,M
I'm sleeping well and feeling energized. Need advice.,Low,9.097965440196685,54,M
The stress is unbearable and I need immediate help. Seeking help.,Critical,80.39552568742108,56,F
I feel calm and peaceful. Need advice.,Low,12.340617151700357,57,M
I have severe anxiety and depression that won't go away.,Critical,83.07391182353115,36,F
Life has been pretty manageable lately.,Low,5.530010229941102,29,M
Everything is going well at work. I don't know what to do.,Low,4.693111280132581,49,F
I feel good and relaxed today. Seeking help.,Low,19.80592130153194,18,M
Everything feels hopeless and I'm struggling daily. Seeking help.,High,60.891822466947275,20,F
Sometimes I feel stressed but it's manageable. Seeking help.,Moderate,32.40329295611284,31,M
I'm sleeping well and feeling energized. How can I improve this?,Low,25.663817520330216,22,F
I'm having constant panic attacks and can't function.,Critical,86.83679426951414,47,M
Work has been a bit overwhelming lately. How can I improve this?,Moderate,48.98291463182772,51,Other
I'm enjoying my daily routine.,Low,15.094087757402631,22,M
Work is balanced and I have time for hobbies. How can I improve this?,Low,28.327547913755023,49,Other
The stress is unbearable and I need immediate help. How can I improve this?,Critical,84.70424815516304,50,M
I feel completely helpless and don't know what to do. Need advice.,Critical,98.53662021941312,18,M
The stress is overwhelming and affecting my health. Seeking help.,High,54.89477836973241,29,Other
